Video,Subject
MHE (Prof. Dr. Sudhir Kumar and Dr. Apurv Mehra),Oncology
Giant Cell Tumor (Prof. Dr. SM Tuli and Dr. Apurv Mehra),Oncology
Multiple Myeloma (Dr. Pravas Mishra and Dr. Vivek Verma),Oncology
Osteosarcoma (Dr. Vivek Verma and Dr. Ankur Behl),Oncology
Ewings Sarcoma (Dr. Vivek Verma and Dr. Rashmi Shukla),Oncology
Role of Biopsy of a Tumor (Dr. Harit Chaturvedi and Dr. Apurv Mehra),Oncology
GCT (Dr. Vivek Verma),Oncology
Metastatic Bone Disease (Dr. Vivek Verma),Oncology
Basics of Radiation Therapy (Dr. Rashmi Shukla),Oncology
Total Knee Replacement in Stiff Knee Ankylosis and Flexion (Dr. Mrinal Sharma and Dr. Apurv Mehra),Fundamental Concepts
Bone Grafting (Dr. Shailesh Pai),Fundamental Concepts
ACL Knee - The Procedure (Prof. Dr. VB Bhasin and Dr. Apurv Mehra),Fundamental Concepts
Plating Distal End Radius (Dr. Shailesh Pai),Fundamental Concepts
Femur Nailing (Dr. Shailesh Pai),Fundamental Concepts
Tibia Nailing (Dr. Shailesh Pai),Fundamental Concepts
Acetabulum Posterior Wall Plating Video (Dr. Shailesh Pai),Fundamental Concepts
Galeazzi (Dr. Shailesh Pai),Fundamental Concepts
Plating of Humerus Shaft (Dr. Shailesh Pai),Fundamental Concepts
Safe Surgical Dislocation,Surgical Series
Total Knee Replacement (Dr. Shekhar Agarwal and Dr. Apurv Mehra),Arthroplasty
Knee Replacement (OT Recording) (Dr. Apurv Mehra),Arthroplasty
Introduction and Work Up of THR (Dr. Apurv Mehra and Dr. Shekhar Agarwal),Arthroplasty
Tribology (Dr. Apurv Mehra and Dr. Shekhar Agrawal),Arthroplasty
THR Surgery and Complications (Dr. Apurv Mehra and Dr. Shekhar Agrawal),Arthroplasty
Hip Biomechanics (Dr. Ashish Taneja),Arthroplasty
Periprosthetic Joint Infection (Dr. Ashish Taneja),Arthroplasty
How the OSCE is Conducted in UK (Dr. Nandan Marathe),OSCE Examinations
OSCE in UK - Hand (Dr. Akshay Malhotra),OSCE Examinations
Hands Part 1 (Prof. Dr. Anil Dhal),OSCE Examinations
Hands Part 2 (Prof. Dr. Anil Dhal),OSCE Examinations
Nerves (Prof. Dr. Anil Dhal),OSCE Examinations
"Elbow, Forearm & Wrist (Prof. Dr. Sudhir Kumar & Dr. Harpreet Singh)",OSCE Examinations
Shoulder (Dr. Harpreet Singh),OSCE Examinations
Spine (Cold) (Dr. Apurv Mehra and Dr. Jitesh Manghwani),OSCE Examinations
Hip (Dr. Ashish Taneja and Dr. Apurv Mehra),OSCE Examinations
Knee (Prof. VB Bhasin & Dr. Ashish Taneja),OSCE Examinations
Foot & Ankle (Cold) (Prof. Dr. Anil Dhal and Dr. Anuj Chawla),OSCE Examinations
Upper Limb Trauma (Prof. Dr. Shantaram Shetty),OSCE Examinations
Cervical Spine Fractures (Dr. Jitesh Manghwani & Dr. Apurv Mehra),OSCE Examinations
Thoracolumbar Fractures (Dr. Jitesh Manghwani),OSCE Examinations
Pelviacetabular (Dr. Shailesh Pai),OSCE Examinations
Lower Limb Trauma (Prof. Dr. Shantaram Shetty),OSCE Examinations
Foot and Ankle (Dr. Shailesh Pai & Dr. Anuj Chawla),OSCE Examinations
Amputations (Dr. Shailesh Pai),General Orthopedics
Surgical Approaches (Dr. Shailesh Pai),OSCE Examinations
Peds Ortho Part 1 (Prof. Dr. Ajith Kumar),OSCE Examinations
Peds Ortho Part 2 (Prof. Dr. Gopa Kumar),OSCE Examinations
Peds Trauma (Dr. Shailesh Pai & Dr. Faheem Kotekar),OSCE Examinations
Tumor 1 (Dr. Vivek Verma & Dr. Apurv Mehra),OSCE Examinations
Tumor 2 (Prof. Dr. Mayil Natarajan and Dr. Vivek Verma),OSCE Examinations
Q and A - Tuberculosis (Prof. Dr. SM Tuli and Dr. Abhinav Jogani),General Orthopedics
Arthritis (Dr. Apurv Mehra & Dr. Suvrat Arya),OSCE Examinations
Metabolic Disorders (Prof. Dr. Sudhir Kumar),OSCE Examinations
Osteology (Dr. Zeeshan Muzahid T and Dr. Harpreet Singh),OSCE Examinations
Specimen (Dr. Apurv Mehra),OSCE Examinations
Syndromes (Dr. Apurv Mehra),OSCE Examinations
Biostatistics (Dr. Abhinav Jogani),OSCE Examinations
X-rays (Prof. Dr. SM Tuli),OSCE Examinations
Important X-Rays (Prof. Dr. SM Tuli & Dr. Apurv Mehra),OSCE Examinations
Arthroscopy (Prof. VB Bhasin & Dr. Harpreet Singh),OSCE Examinations
Arthroplasty 2 (Prof. Dr. S S Mohanty),OSCE Examinations
Who is Who (Dr. Apurv Mehra),OSCE Examinations
COVID in Orthopedics (Dr. Farhan and Dr. Faheem),OSCE Examinations
Physiotherapy OSCE (Dr. Meena Makhija),OSCE Examinations
Mock OSCE Test 1 (Dr. Apurv Mehra),OSCE Examinations
Mock OSCE Test 1 - Solutions (Dr. Apurv Mehra),OSCE Examinations
Mock OSCE Test 2 (Dr. Shailesh Pai),OSCE Examinations
Mock OSCE Test 2 - Solutions (Dr. Shailesh Pai),OSCE Examinations
Total Hip Arthroplasty in Fused Hips (Dr. Apurv Mehra and Dr. Mrinal Sharma),Arthroplasty
Role of 3D Printing in Orthopedics (Dr. Ashish Taneja),Fundamental Concepts
THR in Protrusion Acetabuli (Dr. Mrinal Sharma),Arthroplasty
Patellar Resurfacing (Dr. Mrinal Sharma),Arthroplasty
THR following Acetabular Fractures (Dr. Mrinal Sharma),Arthroplasty
THR in Dysplastic Hips (Dr. Mrinal Sharma),Arthroplasty
Complications of Total Hip Replacement (Dr. Sunil Kini),Arthroplasty
TKR in Valgus Knee (Dr. Ashish Taneja),Arthroplasty
Orthotics (Dr. Yogesh Gowda),OSCE Examinations
Prosthesis (Dr. Yogesh Gowda),OSCE Examinations
Live Case Interaction (Prof. Dr. Anil Dhal),Practical Examination
Problems of Union (Dr. Shailesh Pai),Deformity Correction and Ilizarov
DDH Case Discussion (Prof. Dr. Ajith Kumar),Practical Examination
Lower Limb Orthotics and Prosthesis (Prof. Dr. S S Mohanty),Practical Examination
Spine Orthotics and Prosthesis (Prof. Dr. Sudhir Kumar),Practical Examination
AVN Case Simulation (Prof. Dr. Ajith Kumar),Practical Examination
Upper Limb Orthotics and Prosthesis (Prof. Dr. Anil Dhal),Practical Examination
AVN Hip Case (Prof. Dr. S S Mohanty),Practical Examination
Perthes Disease (Prof. Dr. Ajith Kumar),Practical Examination
Neck Femur (Prof. Dr. Ajith Kumar),Practical Examination
TB Hip Case Discussion (Prof. Dr. Shantaram Shetty),Practical Examination
Clinical Signs Lower Limb (Prof. Dr. Gopa Kumar),OSCE Examinations
Spine Signs and Imaging (Prof. Dr. Gopa Kumar),OSCE Examinations
Clinical Signs Upper Limb (Prof. Dr. Gopa Kumar),OSCE Examinations
Common Knee Cases (Prof. VB Bhasin and Dr. Ashish Taneja),Clinical Examination
Shoulder Arthroscopy Overview (Dr. Apurv Mehra and Dr. Harpreet Singh),Arthroscopy
"Bankart's Repair (Dr. Harpreet Singh)",Arthroscopy
Rotator Cuff Repair (Dr. Harpreet Singh),Arthroscopy
Hip Arthroscopy (Dr. Sunil G Kini),Arthroscopy
Dr. Suvrat Arya Joins Conceptual Orthopedics,Introduction and Orientation
Rheumatoid Arthritis Introduction and Pathogenesis (Dr. Suvrat Arya),Arthritis
Clinical Features of Rheumatoid Arthritis (Dr. Suvrat Arya),Arthritis
Lab and Imaging of Rheumatoid Arthritis (Dr. Suvrat Arya),Arthritis
Management of Rheumatoid Arthritis (Dr. Suvrat Arya),Arthritis
Ankylosing Spondylitis (Dr. Suvrat Arya),Arthritis
Ankylosing Spondylitis Clinical Features (Dr. Suvrat Arya),Arthritis
Ankylosing Spondylitis Lab and Imaging (Dr. Suvrat Arya),Arthritis
AS Classification (Dr. Suvrat Arya),Arthritis
Gout (Dr. Suvrat Arya),Arthritis
X-Rays - Introduction (Dr. Apurv Mehra),Fundamental Concepts
"X-rays - Infection, TB and Tumors (Dr. Apurv Mehra)",Fundamental Concepts
X-Rays Trauma (Dr. Apurv Mehra),Fundamental Concepts
X-rays Arthritis and Metabolic Disorders (Dr. Apurv Mehra),Fundamental Concepts
"X-rays Sports Injury, Neuromuscular Disorder and Peds Ortho (Dr. Apurv Mehra)",Fundamental Concepts
Shoulder MRI (Dr. Harpreet Singh),Fundamental Concepts
MRI Normal Knee Joint (Dr. Yogesh Gowda),Fundamental Concepts
MRI of Knee Joint Pathogenesis (Dr. Yogesh Gowda),Fundamental Concepts
X-Rays in Foot,Fundamental Concepts
Passion for Orthopedics (Dr. Apurv Mehra),Introduction and Orientation
How to Face Examiners (Dr. Ram Chaddha and Dr. Jitesh Manghwani),Introduction and Orientation
Covid-19 (Dr. Apurv Mehra),Introduction and Orientation
Residency and Beyond (Dr. Jitesh Manghwani),Introduction and Orientation
What Books to Read During Residency (Dr. Apurv Mehra),Introduction and Orientation
ABC OF Clinical Practice (Dr. Harit Chaturvedi and Dr. Apurv Mehra),Introduction and Orientation
Our Life with Corona (Dr. Harit Chaturvedi),Introduction and Orientation
Anuj Chawla Joins Conceptual Orthopedics (Dr. Apurv Mehra),Introduction and Orientation
Q & A (Prof. Dr. SM Tuli and Dr. Jitesh Manghwani),Practical Examination
36 in 60 (Prof. Dr. SM Tuli and Dr. Apurv Mehra),Practical Examination
Summary - Patient and Pain (Dr. Apurv Mehra),Practical Examination
Summary - General Examination (Dr. Apurv Mehra),Practical Examination
Summary - Examination of a Diseased Bone (Dr. Apurv Mehra),Practical Examination
Summary - Examination of a Swelling or Lump (Dr. Apurv Mehra),Practical Examination
Summary - Examination of Pathological Joints (Dr. Apurv Mehra),Practical Examination
Summary - Examination of Hip Joint (Dr. Apurv Mehra),Practical Examination
Summary - Examination of Peripheral Nerves,Practical Examination
Summary - Examination of Elbow Joint (Dr. Apurv Mehra),Practical Examination
Summary - Measurement of Limb Length (Dr. Apurv Mehra),Practical Examination
Summary - Examination of Wrist and Hand (Dr. Apurv Mehra),Practical Examination
Summary - Examination of Knee Joint (Dr. Apurv Mehra),Practical Examination
Summary - Examination of Ankle and Foot (Dr. Apurv Mehra),Practical Examination
Examination of CTEV (Dr. Apurv Mehra),Practical Examination
Examination of Spine (Dr. Apurv Mehra),Practical Examination
Examination of Peripheral Vascular Disease and Gangrene (Dr. Apurv Mehra),Practical Examination
Summary of Shoulder Examination (2) (Dr. Apurv Mehra and Dr. Harpeet Singh),Practical Examination
Summary of All Shoulder Cases (Dr. Piyush and Dr. Harpeet Singh),Practical Examination
Knee Examination of Sports Injury (Dr. Ashish Taneja and Dr. Apurv Mehra),Practical Examination
Management of Stiff Knee (Prof. Dr. VB Bhasin),Regional Orthopedics
Cervical Spine Fracture (Dr. Jitesh Manghwani),Regional Orthopedics
Trochanteric Fractures,Trauma
Distal Humerus Fractures,Trauma
Ankle Fractures,Trauma
Acetabular Fractures,Trauma
Implants (Dr. Shailesh Pai),OSCE Examinations
Instruments (Dr. Shailesh Pai),OSCE Examinations
Shoulder (Dr. Shailesh Pai),OSCE Examinations
Summary - Examination of a Shoulder Joint (Dr. Apurv Mehra),Practical Examination
Pressure Ulcer and Wound Care (Dr. Apurv Mehra),Fundamental Concepts
Catheter Care (Dr. Apurv Mehra),Fundamental Concepts
Trauma Guidance (Dr. Shailesh Pai),Introduction and Orientation
Principles of Casting (Dr. Vishal Huggi),Fundamental Concepts
4. Bone Structure Diseases (Dr. Ravinder Dimri),Fundamental Concepts
Trolleys and Casts (Prof. Dr. Gopa Kumar),Fundamental Concepts
3. Bone Function (Dr. Ravinder Dimri),Fundamental Concepts
2. Bone Cells (Dr. Ravinder Dimri),Fundamental Concepts
Tractions and Crutches (Prof. Dr. Gopa Kumar),Fundamental Concepts
Radiological Signs Lower Limb (Prof. Dr. Gopa Kumar),Fundamental Concepts
Health Care - Associated Infection and Prevention (Dr. Apurv Mehra),Fundamental Concepts
Dressings (Prof. Dr. Gopa Kumar),Fundamental Concepts
Cast and Materials (Dr. Apurv Mehra and Dr. Vishal Huggi),Fundamental Concepts
1. Bone (Dr. Ravinder Dimri),Fundamental Concepts
AO Classification of Fractures (Dr. Shailesh Pai),Fundamental Concepts
Gloves (Dr. Apurv Mehra),Fundamental Concepts
Total Knee Replacement in Valgus Knee (Dr. Mrinal Sharma),Arthroplasty
Uncemented Total Hip Replacement (Dr. Mrinal Sharma),Arthroplasty
Cemented Total Hip Replacement (Dr. Mrinal Sharma),Arthroplasty
Talar Neck Fractures,Trauma
X-Rays Lower Limb (Prof. Dr. Gopa Kumar),Fundamental Concepts
Bone Tumors X-Rays Part-2 (Dr. VK Gautam),Fundamental Concepts
Bone Tumors X-Rays Part-1 (Dr. VK Gautam),Fundamental Concepts
Biomechanics and Principles of Total Knee Replacement (Dr. VK Gautam),Arthroplasty
Bimalleolar Ankle Surgical Video,Surgical Series
Proximal Tibia Intraarticular Fracture Surgical Video,Surgical Series
MIPO DFP (Dr. Shailesh Pai),Surgical Series
Congenital Coxa Vara (Dr. Faheem Kotekar),Pediatric Orthopedics
Fibular Deficiency / Hemimelia (Dr. Faheem Kotekar),Conceptual Connect LIVE Sessions
Steps for Scrubbing for Surgery (Dr. Apurv Mehra),Fundamental Concepts
Distal Femur Fracture ORIF with DFP,Surgical Series
Osteoarthritis of Knee (Prof. VB Bhasin and Dr. Ashish Taneja),Arthritis
Coronal Plane Deformities of Knee & their Management (Dr. VK Gautam),Deformity Correction and Ilizarov
"Genu Valgum - Evaluation (Prof. Dr. SM Tuli, Prof. Dr. Sudhir Kumar and Prof. Dr. Anil Dhal)",Clinical Examination
CPT Discussion (Prof. Dr. SM Tuli and  Prof. Dr. Sudhir Kumar),Conceptual Connect LIVE Sessions
Vitamin D Resistant Rickets (Dr. VK Gautam),Pediatric Orthopedics
Cerebral Palsy Part 1 (Prof. Dr. Gopa Kumar),General Orthopedics
Cerebral Palsy Part 2 (Prof. Dr. Gopa Kumar),General Orthopedics
AC Joint (Dr. Harpreet Singh),Arthroscopy
Duties of Responsibilities of an Orthopedic Resident (Prof. Dr. Anil Dhal),Introduction and Orientation
Message for Residents (Dr. VK Gautam),Introduction and Orientation
Message for Residents (Prof. Dr. SM Tuli),Introduction and Orientation
Career in Orthopedics (Prof. Dr. VB Bhasin and Dr. Apurv Mehra),Introduction and Orientation
Message for Residents (Prof. Dr. Gopa Kumar),Introduction and Orientation
Message for Residents (Prof. Dr. Sudhir Kumar),Introduction and Orientation
Motivation (Prof. Dr. Shantaram Shetty),Introduction and Orientation
Surgery for Lisfranc Injury,Surgical Series
SCARF Osteotomy,Regional Orthopedics
Haglund Excision & FHL Transfer for Insertional Achilles Tear,Regional Orthopedics
Calcaneal ORIF (Dr. Maninder Shah Singh),Fundamental Concepts
Lisfranc Injury,Trauma
Spinal Tumors (Dr. Jitesh Manghwani),Regional Orthopedics
Cervical Radiculopathy (Dr. Jitesh Manghwani),Regional Orthopedics
Lumbar Canal Stenosis (Dr. VK Gautam),Regional Orthopedics
Gait in Pathological Conditions (Prof. Dr. Gopa Kumar),Fundamental Concepts
Gait (Prof. Dr. Gopa Kumar),Fundamental Concepts
Upper Limb Slabs/ Casts Key Points (Dr. Apurv Mehra),Fundamental Concepts
"Upper Limb Periarticular injections (Prof. Dr. SM Tuli, Prof. Dr. Sudhir Kumar and Dr. Apurv Mehra)",Fundamental Concepts
Below Elbow Cast (Dr. Apurv Mehra),Fundamental Concepts
Intraarticular Injection - Knee (Dr. Apurv Mehra),Fundamental Concepts
Bandages (Dr. Apurv Mehra),Fundamental Concepts
